## FlyBase FBgn-Annotation ID Correspondence Table
## Generated: Wed Apr  1 17:36:04 2020
## Using datasource: dbi:Pg:dbname=fb_2020_02_reporting;host=flysql20;port=5432...

##gene_symbol	organism_abbreviation	primary_FBgn#	secondary_FBgn#(s)	annotation_ID	secondary_annotation_ID(s)
CG13344	Dmel	FBgn0033884	FBgn0025332	CG13344	
CG12782	Dmel	FBgn0034838		CG12782	
ac	Dmel	FBgn0000022		CG3796	
Cpsf160	Dmel	FBgn0024698	FBgn0024812,FBgn0033941,FBgn0062164	CG10110	
cg	Dmel	FBgn0000289	FBgn0010639,FBgn0020273,FBgn0033908	CG8367	
CG12869	Dmel	FBgn0033943		CG12869	
CG31051	Dmel	FBgn0051051	FBgn0039587,FBgn0063638	CG31051	CG1540
CG30069	Dmel	FBgn0050069	FBgn0033909,FBgn0033910	CG30069	CG8381,CG13017
Sox15	Dmel	FBgn0005613	FBgn0024287,FBgn0040750	CG8404	CG13945
isopeptidase-T-3	Dmel	FBgn0028372		CG11025	
Dana\GF26492	Dana	FBgn0273715		GF26492	
tra2	Dmel	FBgn0003742		CG10128	
CG13018	Dmel	FBgn0040751		CG13018	
Rcd1	Dmel	FBgn0033897		CG8233	
Cyp4aa1	Dmel	FBgn0034053		CG8302	
CR46232	Dmel	FBgn0267952		CR46232	
Cpr51A	Dmel	FBgn0033942		CG10112	
Sec61beta	Dmel	FBgn0010638	FBgn0033947	CG10130	
Uhg5	Dmel	FBgn0083123	FBgn0259929	CR42452	
CG14142	Dmel	FBgn0036143		CG14142	
Ubqn	Dmel	FBgn0031057	FBgn0019902,FBgn0045787	CG14224	
Mer	Dmel	FBgn0086384	FBgn0013951,FBgn0070004,FBgn0014341	CG14228	
ssp5	Dmel	FBgn0037985	FBgn0044755	CG14735	
CG14740	Dmel	FBgn0037988	FBgn0044699	CG14740	
CG14778	Dmel	FBgn0029580		CG14778	
CG2975	Dmel	FBgn0031468		CG2975	
plh	Dmel	FBgn0037292		CG2022	
CG18558	Dmel	FBgn0031469		CG18558	
AttA	Dmel	FBgn0012042	FBgn0044580,FBgn0064916	CG10146	
CG34136	Dmel	FBgn0083972		CG34136	
CG33509	Dmel	FBgn0053509	FBgn0032912	CG33509	CG14398
RpS21	Dmel	FBgn0015521	FBgn0010545,FBgn0014276	CG2986	
Takl2	Dmel	FBgn0039015		CG4803	
CG31816	Dmel	FBgn0051816	FBgn0045096,FBgn0045237,FBgn0045332	CG31816	
CG14835	Dmel	FBgn0035782		CG14835	
Dpse\e(y)2	Dpse	FBgn0073595		GA13559	e(y)2
CR32496	Dmel	FBgn0052496		CR32496	CG32496
CR13656	Dmel	FBgn0039307		CR13656	CG13656
sphinx1	Dmel	FBgn0052383	FBgn0035783	CG32383	CG8555
Dpse\e(y)2b	Dpse	FBgn0073149		GA13111	e(y)2b
Sytbeta	Dmel	FBgn0261090	FBgn0036464,FBgn0040807,FBgn0259235,FBgn0084189,FBgn0261088,FBgn0044815	CG42333	CG13462,CG3020
CG4318	Dmel	FBgn0030455		CG4318	
CG8117	Dmel	FBgn0030663		CG8117	
RpL22	Dmel	FBgn0015288	FBgn0025289	CG7434	
ave	Dmel	FBgn0050476	FBgn0064863	CG30476	
Mvb12	Dmel	FBgn0030894		CG7192	
Vps8	Dmel	FBgn0035704	FBgn0062066	CG10144	
Vta1	Dmel	FBgn0035251		CG7967	
Vsp37A	Dmel	FBgn0016038	FBgn0025636,FBgn0045872	CG17828	
Hr3	Dmel	FBgn0000448	FBgn0019719,FBgn0026805,FBgn0033496	CG33183	CG12208,CG11823
NSD	Dmel	FBgn0039559		CG4976	
CG31207	Dmel	FBgn0051207	FBgn0038848	CG31207	CG7096
RNaseZ	Dmel	FBgn0028426	FBgn0033506	CG3298	
CG15864	Dmel	FBgn0040528	FBgn0037558	CG15864	CG7553
CG32117	Dmel	FBgn0052117		CG32117	
Dpse\GA11258	Dpse	FBgn0071312		GA11258	
CG2964	Dmel	FBgn0031462		CG2964	
CG30083	Dmel	FBgn0050083		CG30083	
CG3123	Dmel	FBgn0031465		CG3123	
CG31326	Dmel	FBgn0051326	FBgn0038212	CG31326	CG9645
CG10570	Dmel	FBgn0040992		CG10570	
Fs	Dmel	FBgn0259878	FBgn0034004,FBgn0040746,FBgn0053466,FBgn0066117	CG33466	CG12955,CG12956
Dpse\GA21113	Dpse	FBgn0081101		GA21113	
beta4GalNAcTA	Dmel	FBgn0027538	FBgn0062226	CG8536	
Tbce	Dmel	FBgn0033055		CG7861	
conv	Dmel	FBgn0261269	FBgn0042652,FBgn0033920	CG8561	
RpL22-like	Dmel	FBgn0034837		CG9871	
CG2991	Dmel	FBgn0031474		CG2991	
yip3	Dmel	FBgn0040063	FBgn0034836,FBgn0045256,FBgn0061446	CG13549	
Nurf-38	Dmel	FBgn0016687	FBgn0021828	CG4634	
dpr4	Dmel	FBgn0053512	FBgn0037909,FBgn0040548	CG33512	CG12593,CG14707
CG8155	Dmel	FBgn0034009		CG8155	
Ih	Dmel	FBgn0263397	FBgn0047303,FBgn0050068,FBgn0028428,FBgn0027105	CG8585	CR30068
CG33510	Dmel	FBgn0053510	FBgn0032912	CG33510	CG14398
CalpA	Dmel	FBgn0012051	FBgn0034444	CG7563	CG18152
Dtg	Dmel	FBgn0038071		CG6234	
Dpse\GA11181	Dpse	FBgn0071236		GA11181	
Dpse\GA11884	Dpse	FBgn0071933		GA11884	
Dana\GF26493	Dana	FBgn0273716		GF26493	
CG44163	Dmel	FBgn0265046		CG44163	
mey	Dmel	FBgn0039851		CG12063	
CR43361	Dmel	FBgn0263093		CR43361	CG32021
CG43393	Dmel	FBgn0263250		CG43393	
Ccs	Dmel	FBgn0010531	FBgn0025541,FBgn0033487	CG17753	
CG15387	Dmel	FBgn0031403		CG15387	
CG14903	Dmel	FBgn0038446		CG14903	
Spred	Dmel	FBgn0020767	FBgn0033964	CG10155	
CG31694	Dmel	FBgn0051694	FBgn0031475,FBgn0031477	CG31694	CG3098,CG15401
RpL11	Dmel	FBgn0013325	FBgn0021801,FBgn0062462	CG7726	
CG13502	Dmel	FBgn0034692		CG13502	
H15	Dmel	FBgn0016660		CG6604	
CG13623	Dmel	FBgn0039205	FBgn0063218	CG13623	
CG6154	Dmel	FBgn0039420		CG6154	
Dpse\GA11885	Dpse	FBgn0071934		GA11885	
CG3104	Dmel	FBgn0031473		CG3104	
CG9812	Dmel	FBgn0034860	FBgn0062433	CG9812	
pygo	Dmel	FBgn0043900	FBgn0028951,FBgn0039853,FBgn0064198	CG11518	
SdhA	Dmel	FBgn0261439	FBgn0003347,FBgn0017539	CG17246	
subdued	Dmel	FBgn0038721		CG16718	
Fak	Dmel	FBgn0020440		CG10023	
RpS23	Dmel	FBgn0033912	FBgn0026271,FBgn0026280	CG8415	
Dpse\GA20994	Dpse	FBgn0080983		GA20994	
bdg	Dmel	FBgn0034049		CG8291	
Cyp309a2	Dmel	FBgn0041337	FBgn0031433	CG18559	
CG13563	Dmel	FBgn0034966		CG13563	
CHKov1	Dmel	FBgn0045761	FBgn0039327,FBgn0003232	CG10618	
CG3117	Dmel	FBgn0031471		CG3117	
sxc	Dmel	FBgn0261403	FBgn0067375,FBgn0003658,FBgn0261392,FBgn0040295,FBgn0027591	CG10392	
CG18557	Dmel	FBgn0031470		CG18557	
Hex-C	Dmel	FBgn0001187	FBgn0034003	CG8094	
CG3119	Dmel	FBgn0031466		CG3119	
Dpse\GA24165	Dpse	FBgn0245564		GA24165	
Dpse\GA11183	Dpse	FBgn0071238		GA11183	
CG42703	Dmel	FBgn0261614		CG42703	
RpL37b	Dmel	FBgn0034822		CG9873	
CG3842	Dmel	FBgn0029866		CG3842	
CG9877	Dmel	FBgn0034819	FBgn0047141	CG9877	
CG12512	Dmel	FBgn0031703		CG12512	
ppk29	Dmel	FBgn0034965		CG13568	
snsl	Dmel	FBgn0031646		CG2837	
CG4617	Dmel	FBgn0029936		CG4617	
mRpL41	Dmel	FBgn0034001	FBgn0047156	CG12954	
CG8093	Dmel	FBgn0033999		CG8093	
CG7744	Dmel	FBgn0034447		CG7744	
CG10222	Dmel	FBgn0036356		CG10222	
p38c	Dmel	FBgn0267339	FBgn0046322,FBgn0053338,FBgn0020401	CG33338	
Arf51F	Dmel	FBgn0013750		CG8156	
CG12699	Dmel	FBgn0046294	FBgn0034207,FBgn0044736,FBgn0045194	CG12699	
CG31688	Dmel	FBgn0263355	FBgn0040998,FBgn0051688,FBgn0032861,FBgn0032862,FBgn0040999	CG31688	CG11019,CG18597,CG11017,CG11016
Dana\GF26494	Dana	FBgn0273717		GF26494	
CG30192	Dmel	FBgn0050192	FBgn0061432	CG30192	
Hr51	Dmel	FBgn0034012		CG16801	
Klp59D	Dmel	FBgn0034827		CG12192	
Dsim\mir-977	Dsim	FBgn0264035		GD26736	
unc-5	Dmel	FBgn0034013	FBgn0034014	CG8166	CG8168
CG42397	Dmel	FBgn0259748		CG42397	
CG34435	Dmel	FBgn0085464	FBgn0029776	CG34435	CG17763,CG15780
CG44438	Dmel	FBgn0265631		CG44438	
CG9899	Dmel	FBgn0034829		CG9899	
CG44439	Dmel	FBgn0265632		CG44439	
eEF1delta	Dmel	FBgn0032198		CG4912	
pdm2	Dmel	FBgn0004394	FBgn0032441,FBgn0032443	CG12287	CG15487,CG15486
Muc26B	Dmel	FBgn0040950	FBgn0047122	CG13990	
CR43105	Dmel	FBgn0262565		CR43105	CG43105
CG10205	Dmel	FBgn0033970		CG10205	
Pms2	Dmel	FBgn0011660	FBgn0024325	CG8169	
p38a	Dmel	FBgn0015765	FBgn0013952,FBgn0022991	CG5475	
HPS1	Dmel	FBgn0033973		CG12855	
CG8160	Dmel	FBgn0034011		CG8160	
CG8157	Dmel	FBgn0034010	FBgn0047179	CG8157	
CG13545	Dmel	FBgn0034828		CG13545	
CG13544	Dmel	FBgn0034826		CG13544	
Dpse\GA25042	Dpse	FBgn0246425		GA25042	
Dpse\GA21047	Dpse	FBgn0081035		GA21047	
Cyp6a19	Dmel	FBgn0033979		CG10243	
Prosbeta1	Dmel	FBgn0010590	FBgn0034064	CG8392	
CG8388	Dmel	FBgn0034062		CG8388	
Klp59C	Dmel	FBgn0034824		CG3219	
CG3092	Dmel	FBgn0034835	FBgn0044535	CG3092	
Cyp6a8	Dmel	FBgn0013772		CG10248	
Cyp6a21	Dmel	FBgn0033981		CG10247	
G6P	Dmel	FBgn0031463		CG15400	
CG30467	Dmel	FBgn0050467	FBgn0034026	CG30467	CG8185
Vha36-1	Dmel	FBgn0022097	FBgn0034028,FBgn0045927,FBgn0045934,FBgn0045935,FBgn0066035	CG8186	
Dpse\GA21048	Dpse	FBgn0081036		GA21048	
GC1	Dmel	FBgn0260743	FBgn0037969,FBgn0015345	CG18347	
CG13540	Dmel	FBgn0034839		CG13540	
Ibf1	Dmel	FBgn0037670		CG8436	
CG30466	Dmel	FBgn0050466		CG30466	
SMC2	Dmel	FBgn0027783		CG10212	
CG14606	Dmel	FBgn0037485		CG14606	
CG10209	Dmel	FBgn0033971		CG10209	
CG13541	Dmel	FBgn0034841		CG13541	
Dpse\GA21060	Dpse	FBgn0081048		GA21060	
CG8204	Dmel	FBgn0034033	FBgn0063714	CG8204	
Cdk5	Dmel	FBgn0013762		CG8203	
CG10257	Dmel	FBgn0033985	FBgn0062429	CG10257	
GC2	Dmel	FBgn0037970		CG12201	
Ibf2	Dmel	FBgn0037669		CG9740	
CG18469	Dmel	FBgn0034206	FBgn0061439	CG18469	
CG5708	Dmel	FBgn0032196		CG5708	
pcs	Dmel	FBgn0033988		CG7761	
CG8195	Dmel	FBgn0034032		CG8195	
aPKC	Dmel	FBgn0261854	FBgn0022131,FBgn0033986,FBgn0260478,FBgn0050475	CG42783	CG10261,CG30475
CG8192	Dmel	FBgn0034030		CG8192	
CG6153	Dmel	FBgn0032445		CG6153	
CG3124	Dmel	FBgn0034840	FBgn0044640	CG3124	
Dpse\GA25044	Dpse	FBgn0246427		GA25044	
PICK1	Dmel	FBgn0032447		CG6167	
CG8187	Dmel	FBgn0034027		CG8187	
ord	Dmel	FBgn0003009		CG3134	
Khc-73	Dmel	FBgn0019968	FBgn0025191	CG8183	
AMPKalpha	Dmel	FBgn0023169	FBgn0004836,FBgn0029574	CG3051	
Wee1	Dmel	FBgn0011737	FBgn0010519	CG4488	
Opa1	Dmel	FBgn0261276	FBgn0033914,FBgn0010687,FBgn0086250,FBgn0084864	CG8479	
CG42524	Dmel	FBgn0260429		CG42524	
ADPS	Dmel	FBgn0033983		CG10253	
CG8613	Dmel	FBgn0033924		CG8613	
Arc2	Dmel	FBgn0033928	FBgn0061987,FBgn0062886	CG13941	
Tfb1	Dmel	FBgn0033929	FBgn0010631	CG8151	
CG34442	Dmel	FBgn0085471	FBgn0033930,FBgn0050070	CG34442	CG30070
Vha26	Dmel	FBgn0283535	FBgn0015324,FBgn0024707,FBgn0264655	CG1088	
Vha13	Dmel	FBgn0283536	FBgn0026753,FBgn0010857,FBgn0061454,FBgn0264636	CG6213	
Obp50d	Dmel	FBgn0050074		CG30074	
CG34443	Dmel	FBgn0085472	FBgn0033930,FBgn0050070	CG34443	CG30070
CG34444	Dmel	FBgn0085473	FBgn0033930,FBgn0050070	CG34444	CG30070
Mur2B	Dmel	FBgn0025390	FBgn0025389	CG14796	
CG34011	Dmel	FBgn0054011	FBgn0082902	CG34011	
Pmp70	Dmel	FBgn0031069		CG12703	
Rad1	Dmel	FBgn0026778		CG3240	
Obp50e	Dmel	FBgn0033931		CG13939	
Dpse\GA10650	Dpse	FBgn0070706		GA10650	
brun	Dmel	FBgn0261787	FBgn0061518,FBgn0032872	CG2478	
bru1	Dmel	FBgn0000114	FBgn0015367,FBgn0045095,FBgn0045436,FBgn0051762,FBgn0063197	CG31762	CG6319
bru2	Dmel	FBgn0262475	FBgn0043904,FBgn0032423,FBgn0051761,FBgn0051763	CG43065	CG31761,CG31763,CG17008,CG6319
bru3	Dmel	FBgn0264001	FBgn0262350,FBgn0036379,FBgn0036378,FBgn0010879,FBgn0085272	CG43744	CG12478,CG34243,CG10046
CG31275	Dmel	FBgn0063261	FBgn0051275	CG31275	CG14908
Obp56e	Dmel	FBgn0034471		CG8462	
tsr	Dmel	FBgn0011726	FBgn0011567,FBgn0020533,FBgn0020539,FBgn0022163,FBgn0024209	CG4254	
polyph	Dmel	FBgn0033572		CG12943	
Dpse\GA18591	Dpse	FBgn0078592		GA18591	
CG15436	Dmel	FBgn0031610		CG15436	
CG30090	Dmel	FBgn0050090	FBgn0034038,FBgn0064961	CG30090	CG8215
CG30088	Dmel	FBgn0050088	FBgn0034038	CG30088	CG8215
CG17036	Dmel	FBgn0032449		CG17036	
CG33462	Dmel	FBgn0053462	FBgn0034038,FBgn0050086	CG33462	CG8215,CG30086
CG42662	Dmel	FBgn0261538		CG42662	
Dpse\GA18609	Dpse	FBgn0078610		GA18609	
CheB38c	Dmel	FBgn0032888		CG14405	
Non1	Dmel	FBgn0028473	FBgn0050341	CG8801	CG30341
CG33523	Dmel	FBgn0053523	FBgn0035650,FBgn0035651,FBgn0052410,FBgn0064970	CG33523	CG10977,CG32410,CG10727
Vap33	Dmel	FBgn0029687	FBgn0025953,FBgn0040184,FBgn0062492,FBgn0066853	CG5014	
Non2	Dmel	FBgn0035370		CG1240	
Non3	Dmel	FBgn0038585		CG7993	
ssp7	Dmel	FBgn0052667		CG32667	CG32677
atk	Dmel	FBgn0036995		CG5195	
Dpse\ato	Dpse	FBgn0080396		GA20401	ato
Dpse\GA18610	Dpse	FBgn0078611		GA18610	
CG30080	Dmel	FBgn0050080	FBgn0034039,FBgn0063021,FBgn0064859	CG30080	CG12965
FIG4	Dmel	FBgn0031611		CG17840	
Vha14-1	Dmel	FBgn0262512	FBgn0010426,FBgn0065488	CG8210	
CG8207	Dmel	FBgn0034035		CG8207	
Dpse\GA30932	Dpse	FBgn0271339		GA30932	
Dana\GF26495	Dana	FBgn0273718		GF26495	
CG30089	Dmel	FBgn0050089	FBgn0034040,FBgn0034041,FBgn0040745	CG30089	CG12305,CG12967,CG12966
Dana\GF26496	Dana	FBgn0273719		GF26496	
Dana\GF26497	Dana	FBgn0273720		GF26497	
Rrp42	Dmel	FBgn0034065	FBgn0027735,FBgn0027755	CG8395	
CG8399	Dmel	FBgn0034067	FBgn0026300	CG8399	
sli	Dmel	FBgn0264089	FBgn0003425,FBgn0022290,FBgn0053464	CG43758	CG8355,CG33464
Dana\GF26498	Dana	FBgn0273721		GF26498	
Dana\GF26499	Dana	FBgn0273722		GF26499	
Rif1	Dmel	FBgn0050085	FBgn0027510	CG30085	
SP2353	Dmel	FBgn0034070	FBgn0063254	CG8403	
Dpse\GA24160	Dpse	FBgn0245559	FBgn0079541	GA24160	GA19545
HSPC300	Dmel	FBgn0061198	FBgn0050173	CG30173	
7B2	Dmel	FBgn0041707	FBgn0037318	CG1168	
CG14316	Dmel	FBgn0038567		CG14316	
CG8249	Dmel	FBgn0034045		CG8249	
CG14212	Dmel	FBgn0031045		CG14212	CG14122
CG33465	Dmel	FBgn0053465	FBgn0082660	CG33465	CR33465
tun	Dmel	FBgn0034046	FBgn0046770	CG8253	
mRpL34	Dmel	FBgn0083983		CG34147	
mrn	Dmel	FBgn0261109	FBgn0036513,FBgn0061793,FBgn0002840	CG7764	
Rho1	Dmel	FBgn0014020	FBgn0014021,FBgn0024874,FBgn0024880	CG8416	
Rcd-1	Dmel	FBgn0031047		CG14213	
His2A:CG33847	Dmel	FBgn0053847		CG33847	
CG3907	Dmel	FBgn0034958		CG3907	
CAHbeta	Dmel	FBgn0037646		CG11967	
His3:CG33848	Dmel	FBgn0053848		CG33848	
His1:CG33849	Dmel	FBgn0053849		CG33849	
CG5196	Dmel	FBgn0038039		CG5196	
His2A:CG33850	Dmel	FBgn0053850		CG33850	
CG8414	Dmel	FBgn0034073		CG8414	
mab-21	Dmel	FBgn0029003	FBgn0029832	CG4746	
His3:CG33851	Dmel	FBgn0053851		CG33851	
CG4766	Dmel	FBgn0027546		CG4766	
Dip-C	Dmel	FBgn0000455	FBgn0038040	CG5663	
CG5731	Dmel	FBgn0032192		CG5731	
His1:CG33852	Dmel	FBgn0053852		CG33852	
Ggamma30A	Dmel	FBgn0267252	FBgn0028433,FBgn0032107,FBgn0032108,FBgn0263984	CG3694	CG43733,CG18511
CG18549	Dmel	FBgn0038053		CG18549	
Dana\GF26500	Dana	FBgn0273723		GF26500	
CG32700	Dmel	FBgn0267253	FBgn0052700,FBgn0030134,FBgn0030135,FBgn0040934,FBgn0042222,FBgn0046791,FBgn0263508	CG32700	CR43497,CG2994,CG12652,CG12651,CG18429
YL-1	Dmel	FBgn0032321		CG4621	
CG17207	Dmel	FBgn0038051	FBgn0063740	CG17207	
Aos1	Dmel	FBgn0029512	FBgn0038048,FBgn0040288	CG12276	
spin	Dmel	FBgn0086676	FBgn0004571,FBgn0014134,FBgn0028602,FBgn0010657,FBgn0015991,FBgn0021981,FBgn0034078,FBgn0061174	CG8428	
His4:CG33877	Dmel	FBgn0053877		CG33877	
His2B:CG33878	Dmel	FBgn0053878		CG33878	
His4:CG33879	Dmel	FBgn0053879		CG33879	
Got1	Dmel	FBgn0001124	FBgn0034079,FBgn0046303	CG8430	
His2B:CG33880	Dmel	FBgn0053880		CG33880	
His4:CG33881	Dmel	FBgn0053881		CG33881	
Npc1a	Dmel	FBgn0024320		CG5722	
CG10804	Dmel	FBgn0029663		CG10804	
calypso	Dmel	FBgn0262166	FBgn0260028,FBgn0034088	CG8445	
Tsf3	Dmel	FBgn0034094		CG3666	
His2B:CG33882	Dmel	FBgn0053882		CG33882	
CG3687	Dmel	FBgn0034097	FBgn0061445	CG3687	
CG15701	Dmel	FBgn0034095		CG15701	
csul	Dmel	FBgn0015925	FBgn0028723	CG3730	
His4:CG33883	Dmel	FBgn0053883		CG33883	
His2B:CG33884	Dmel	FBgn0053884		CG33884	
His4:CG33885	Dmel	FBgn0053885		CG33885	
His2B:CG33886	Dmel	FBgn0053886		CG33886	
Dana\GF26501	Dana	FBgn0273724		GF26501	
His4:CG33887	Dmel	FBgn0053887		CG33887	
Atg9	Dmel	FBgn0034110		CG3615	
His2B:CG33888	Dmel	FBgn0053888		CG33888	
CG7747	Dmel	FBgn0034109		CG7747	
Gp210	Dmel	FBgn0266580	FBgn0033039,FBgn0040848,FBgn0019983	CG7897	CG14467
His4:CG33889	Dmel	FBgn0053889		CG33889	
His2B:CG33890	Dmel	FBgn0053890		CG33890	
His4:CG33891	Dmel	FBgn0053891		CG33891	
His2B:CG33892	Dmel	FBgn0053892		CG33892	
His4:CG33893	Dmel	FBgn0053893		CG33893	
fidipidine	Dmel	FBgn0025519		CG7773	
His2B:CG33894	Dmel	FBgn0053894		CG33894	
krimp	Dmel	FBgn0034098		CG15707	
Dana\GF26502	Dana	FBgn0273725		GF26502	
Dpse\GA19564	Dpse	FBgn0079560		GA19564	
CG15706	Dmel	FBgn0034093		CG15706	
His4:CG33895	Dmel	FBgn0053895		CG33895	
His2A:CG33853	Dmel	FBgn0053853		CG33853	
His3:CG33854	Dmel	FBgn0053854		CG33854	
His1:CG33855	Dmel	FBgn0053855		CG33855	
CG17666	Dmel	FBgn0036311		CG17666	
ine	Dmel	FBgn0011603	FBgn0020253	CG15444	
His2A:CG33856	Dmel	FBgn0053856		CG33856	
CR31562	Dmel	FBgn0051562	FBgn0037407,FBgn0040677	CR31562	CG15588,CG15587,CG31562
His3:CG33857	Dmel	FBgn0053857		CG33857	
CG3815	Dmel	FBgn0029861		CG3815	
Dana\GF26503	Dana	FBgn0273726		GF26503	
Dpse\GA19568	Dpse	FBgn0079564		GA19568	
His1:CG33858	Dmel	FBgn0053858		CG33858	
CG12219	Dmel	FBgn0043796	FBgn0029862	CG12219	
CG32110	Dmel	FBgn0052110	FBgn0043541	CG32110	
Dana\GF26504	Dana	FBgn0273727		GF26504	
wuho	Dmel	FBgn0029857		CG15897	
Rpt4	Dmel	FBgn0028685	FBgn0027213,FBgn0029070,FBgn0040197	CG3455	
Top3beta	Dmel	FBgn0026015		CG3458	
His2A:CG33859	Dmel	FBgn0053859		CG33859	
CG3566	Dmel	FBgn0029854	FBgn0047011	CG3566	
His1:CG33861	Dmel	FBgn0053861		CG33861	
His2A:CG33862	Dmel	FBgn0053862		CG33862	
schlank	Dmel	FBgn0040918	FBgn0026692,FBgn0028312,FBgn0029852,FBgn0040141	CG3576	CG15898
His3:CG33863	Dmel	FBgn0053863		CG33863	
retn	Dmel	FBgn0004795	FBgn0010517,FBgn0014151,FBgn0063144	CG5403	
CG13989	Dmel	FBgn0031786	FBgn0047349	CG13989	
His1:CG33864	Dmel	FBgn0053864		CG33864	
CG14668	Dmel	FBgn0037320		CG14668	
Dpse\GA21059	Dpse	FBgn0081047		GA21059	
His2A:CG33865	Dmel	FBgn0053865		CG33865	
His3:CG33866	Dmel	FBgn0053866		CG33866	
INPP5E	Dmel	FBgn0036273		CG10426	
CR45497	Dmel	FBgn0267053		CR45497	
CG7309	Dmel	FBgn0032314		CG7309	
CG14070	Dmel	FBgn0032313		CG14070	
Dana\GF26505	Dana	FBgn0273728		GF26505	
CG14071	Dmel	FBgn0032312		CG14071	
Pif1	Dmel	FBgn0031540		CG3238	
Dana\GF26506	Dana	FBgn0273729		GF26506	
Dana\GF26507	Dana	FBgn0273730		GF26507	
CG14313	Dmel	FBgn0038579		CG14313	
His2B:CG33868	Dmel	FBgn0053868		CG33868	
sbr	Dmel	FBgn0003321	FBgn0030236,FBgn0030238	CG1664	CG17335
Cyp309a1	Dmel	FBgn0031432		CG9964	
His2B:CG33870	Dmel	FBgn0053870		CG33870	
Hnf4	Dmel	FBgn0004914	FBgn0032062	CG9310	
CG9344	Dmel	FBgn0034564	FBgn0063016	CG9344	
tnc	Dmel	FBgn0039257		CG13648	
His2B:CG33872	Dmel	FBgn0053872		CG33872	
His2B:CG33874	Dmel	FBgn0053874		CG33874	
Dvir\TpnCIIIa	Dvir	FBgn0067464		GJ21908	TpnCIIIa
Dvir\TpnCIIIb	Dvir	FBgn0067463		GJ21909	TpnCIIIb
CG8136	Dmel	FBgn0037616	FBgn0044573,FBgn0044614	CG8136	
His2B:CG33876	Dmel	FBgn0053876		CG33876	
Dpse\TpnCIb	Dpse	FBgn0081506		GA21520	TpnCIb
Dpse\TpnCII	Dpse	FBgn0079650		GA19654	TpnCII
Dpse\TpnCIIIa	Dpse	FBgn0249038		GA27673	TpnCIIIa
Dvir\TpnCIa	Dvir	FBgn0067461		GJ12386	TpnCIa
Dvir\TpnCIb	Dvir	FBgn0067462		GJ15012	TpnCIb
Dpse\TpnCIIIb	Dpse	FBgn0071666		GA11615	TpnCIIIb
Dvir\TpnCII	Dvir	FBgn0067465		GJ21496	TpnCII
Dpse\TpnI	Dpse	FBgn0243790	FBgn0080153	GA22383	GA20158,TpnI
Dpse\TpnCIa	Dpse	FBgn0245363		GA23964	TpnCIa
CG30095	Dmel	FBgn0050095	FBgn0034077	CG30095	CG8425
CG44532	Dmel	FBgn0265725		CG44532	
CG42494	Dmel	FBgn0260026		CG42494	
CG32939	Dmel	FBgn0052939		CG32939	
CG44477	Dmel	FBgn0265670		CG44477	
CG4988	Dmel	FBgn0032372		CG4988	
CG6614	Dmel	FBgn0032369		CG6614	
Dpse\GA17535	Dpse	FBgn0077546		GA17535	
CG14516	Dmel	FBgn0039640		CG14516	
CG34159	Dmel	FBgn0085188		CG34159	CG5739
LysX	Dmel	FBgn0004431	FBgn0002575,FBgn0063089	CG9120	
CG15443	Dmel	FBgn0031609		CG15443	
Spn42De	Dmel	FBgn0033115		CG9460	
CG43138	Dmel	FBgn0262612		CG43138	
Npc2f	Dmel	FBgn0039154	FBgn0064913	CG6164	
CG31735	Dmel	FBgn0051735	FBgn0063313	CG31735	
CG3515	Dmel	FBgn0031431		CG3515	
DptA	Dmel	FBgn0004240		CG12763	
Tep1	Dmel	FBgn0041183	FBgn0028934,FBgn0032575	CG18096	
CG31533	Dmel	FBgn0051533	FBgn0045282,FBgn0045773,FBgn0064991	CG31533	
CG9722	Dmel	FBgn0038209		CG9722	
CG44475	Dmel	FBgn0265668		CG44475	
CG8320	Dmel	FBgn0034059		CG8320	
CG43124	Dmel	FBgn0262587		CG43124	
Dpse\GA17302	Dpse	FBgn0077315		GA17302	
Dpse\GA16119	Dpse	FBgn0076135		GA16119	
Dpse\GA20005	Dpse	FBgn0080001		GA20005	
Dpse\GA15855	Dpse	FBgn0075871		GA15855	
cN-IIIB	Dmel	FBgn0034988		CG3362	
Gs1l	Dmel	FBgn0019982		CG15441	
Glt	Dmel	FBgn0001114		CG9280	
CG15439	Dmel	FBgn0031606		CG15439	
squ	Dmel	FBgn0267347	FBgn0002652,FBgn0032594,FBgn0069054,FBgn0020558	CG4711	
Dpse\GA30279	Dpse	FBgn0263821	FBgn0078626,FBgn0246432,FBgn0246433	GA30279	GA25049,GA18626,GA25050
MFS18	Dmel	FBgn0025684	FBgn0031605	CG15438	
RhoGAP102A	Dmel	FBgn0259216	FBgn0039898,FBgn0054013,FBgn0082856	CG42316	CG34013,CG1748
CG9314	Dmel	FBgn0032061	FBgn0044620	CG9314	
CG15155	Dmel	FBgn0032669		CG15155	
Dpse\GA30280	Dpse	FBgn0263822		GA30280	
Dana\GF26508	Dana	FBgn0273731		GF26508	
ppk11	Dmel	FBgn0065109	FBgn0032146,FBgn0054058	CG34058	CG4110
ppk16	Dmel	FBgn0065108	FBgn0032146,FBgn0054059	CG34059	CG4110
Loxl1	Dmel	FBgn0039848		CG11335	
Loxl2	Dmel	FBgn0034660		CG4402	
Herc4	Dmel	FBgn0035207		CG9153	
Larp4B	Dmel	FBgn0035424		CG11505	
CG13950	Dmel	FBgn0031289		CG13950	
